Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1885-08,-0.56667155,-1.0304267,-0.09536587
1885-09,-0.3694717,-0.74269485,0.013111211
1885-10,-0.5871808,-0.9934657,-0.17226335
1885-11,-0.49755028,-1.0497979,0.061088096
1885-12,-0.043765236,-0.66161656,0.57983464
1886-01,-0.8024858,-1.4516655,-0.14794531
1886-02,-1.1522393,-1.9611988,-0.33896405
1886-03,-1.0042456,-1.7877707,-0.21625571
1886-04,-0.4080112,-1.0634029,0.25272265
1886-05,-0.4853546,-0.921173,-0.041526202
1886-06,-0.6157219,-1.0615638,-0.16202496
1886-07,-0.2661109,-0.669603,0.14605483
1886-08,-0.31287363,-0.7657928,0.14781478
1886-09,-0.15668778,-0.518347,0.21467625
1886-10,-0.55067855,-0.9482257,-0.14426395
1886-11,-0.5167912,-1.0767949,0.049555626
1886-12,-0.3621029,-0.9858557,0.26735744
1887-01,-0.79266,-1.4628335,-0.117299505
1887-02,-0.9207179,-1.7369431,-0.1002183
1887-03,-0.64590377,-1.4219139,0.13461034
1887-04,-0.79244745,-1.4425521,-0.13696055
1887-05,-0.46749014,-0.9204385,-0.0068364884
1887-06,-0.46328825,-0.91022944,-0.008549269
1887-07,-0.31568566,-0.7265339,0.10367834
1887-08,-0.4554944,-0.89621204,-0.0068106637
1887-09,-0.3080659,-0.6656038,0.059236582
1887-10,-0.85217124,-1.2527282,-0.44283217
1887-11,-0.6938459,-1.2317382,-0.14936951
1887-12,-0.6413317,-1.2423477,-0.034398746
1888-01,-1.1361532,-1.8141689,-0.4530267
1888-02,-1.044392,-1.8531458,-0.23134059
1888-03,-1.4154758,-2.1990564,-0.6274497
1888-04,-0.3490545,-1.000844,0.3080894
1888-05,-0.77358645,-1.2347043,-0.3049154
1888-06,-0.4875634,-0.9272285,-0.039966647
1888-07,-0.3981372,-0.82244295,0.034395013
1888-08,-0.40388936,-0.8453826,0.04553108
1888-09,-0.23825647,-0.5903069,0.12371163
1888-10,-0.34588134,-0.7418149,0.058912195
1888-11,-0.39487076,-0.9261976,0.14310326
1888-12,-0.29926947,-0.91230065,0.31954905
1889-01,-0.50141245,-1.1978477,0.20001844
1889-02,-0.45052814,-1.2802811,0.38344225
1889-03,-0.27714962,-1.0847862,0.53482825
1889-04,0.00011821824,-0.65896344,0.66452366
1889-05,0.15562673,-0.30282524,0.6217247
1889-06,-0.05867738,-0.51037776,0.40078977
1889-07,-0.25979835,-0.6809066,0.1696485
1889-08,-0.36214435,-0.7928208,0.07668351
1889-09,-0.5257053,-0.87903434,-0.16243821
1889-10,-0.33160204,-0.7348958,0.08045494
1889-11,-0.7256568,-1.2509276,-0.19361566
1889-12,-0.00045797759,-0.59760994,0.60267806
1890-01,-0.25294656,-0.91776484,0.41713986
1890-02,-0.45652384,-1.240172,0.3316045
1890-03,-0.55350435,-1.322301,0.21986806
1890-04,-0.2984283,-0.93949443,0.3481307
1890-05,-0.5874838,-1.0383611,-0.12881419
1890-06,-0.26593074,-0.7179764,0.19387516
1890-07,-0.39191878,-0.8095835,0.034179747
1890-08,-0.38656276,-0.81493765,0.050056722
1890-09,-0.22711766,-0.5778584,0.13367529
1890-10,-0.5351113,-0.9292688,-0.13198097
1890-11,-0.7905032,-1.3191684,-0.25509974
1890-12,-0.71068376,-1.3131464,-0.10228761
1891-01,-0.9655178,-1.6201813,-0.30548796
1891-02,-0.9246187,-1.7012259,-0.1434685
1891-03,-0.66061056,-1.4121524,0.095634736
1891-04,-0.75221515,-1.3638749,-0.13478078
1891-05,-0.46020564,-0.8937355,-0.01856218
1891-06,-0.41411814,-0.83791286,0.01800057
1891-07,-0.39499128,-0.8008085,0.019528946
1891-08,-0.4677529,-0.88346255,-0.043531004
1891-09,-0.2078334,-0.55142653,0.14604479
1891-10,-0.4842154,-0.87141603,-0.08784263
1891-11,-0.9177961,-1.4312214,-0.397402
1891-12,0.13768466,-0.44739515,0.7289035
1892-01,-0.6660692,-1.302409,-0.024193792
1892-02,-0.06368584,-0.8221349,0.6994247
1892-03,-0.89324915,-1.6306059,-0.15108827
1892-04,-0.84900707,-1.4598072,-0.23240563
1892-05,-0.7720041,-1.2055552,-0.3303067
1892-06,-0.40654317,-0.82971245,0.024985459
1892-07,-0.41801786,-0.82906806,0.0016603366
1892-08,-0.308517,-0.7255079,0.1169992
1892-09,-0.2518094,-0.6065511,0.112936825
1892-10,-0.42388996,-0.81380177,-0.024841692
1892-11,-0.8236697,-1.338581,-0.30180565
1892-12,-1.3838469,-1.977674,-0.78395516
1893-01,-2.146186,-2.7655532,-1.5211291
1893-02,-1.566368,-2.309072,-0.8189057
1893-03,-0.605312,-1.3476534,0.1418049
1893-04,-0.67361075,-1.2795717,-0.061806243
1893-05,-0.73254114,-1.1665632,-0.29037917
1893-06,-0.42799675,-0.86022866,0.012431907
1893-07,-0.12382176,-0.5255973,0.28678623
1893-08,-0.3538031,-0.7705071,0.07144865
1893-09,-0.38087595,-0.72963417,-0.021928351
1893-10,-0.25966254,-0.6393515,0.12942421
1893-11,-0.5375608,-1.0375314,-0.030399363
1893-12,-0.34237224,-0.9159053,0.23744793
1894-01,-0.6335975,-1.2479938,-0.013489123
1894-02,-0.43027318,-1.1606551,0.3049299
1894-03,-0.22572125,-0.9658902,0.5192225
1894-04,-0.4543231,-1.0411962,0.1385813
1894-05,-0.5685347,-1.0047134,-0.12425053
1894-06,-0.6012863,-1.0128299,-0.18114166
1894-07,-0.42538095,-0.8213093,-0.020506931
1894-08,-0.34720477,-0.7742868,0.08820638
1894-09,-0.68155414,-1.035254,-0.3178167
1894-10,-0.38188738,-0.7622427,0.007856949
1894-11,-0.42555502,-0.91510755,0.07134741
1894-12,-0.4614087,-1.019504,0.10315372
1895-01,-1.1758498,-1.7695743,-0.5761866
1895-02,-1.5277624,-2.2374887,-0.8130493
1895-03,-0.76620656,-1.4880321,-0.039467715
1895-04,-0.43201378,-1.0141424,0.15620598
1895-05,-0.47074226,-0.8981162,-0.035084546
1895-06,-0.36779067,-0.785215,0.058127772
1895-07,-0.60865825,-0.99626863,-0.21190332
1895-08,-0.3199969,-0.7466978,0.11504387
1895-09,-0.1760081,-0.5243438,0.18248926
1895-10,-0.3325451,-0.7057899,0.050228138
1895-11,-0.4300946,-0.9183444,0.06549179
1895-12,-0.26219803,-0.8253487,0.307343
1896-01,-0.2953023,-0.8951085,0.31038222
1896-02,-0.36223084,-1.0776,0.35808626
1896-03,-0.8667135,-1.5786808,-0.14976498
1896-04,-0.78987855,-1.3644574,-0.20913577
1896-05,-0.3588543,-0.7802649,0.0709468
1896-06,-0.24294695,-0.6516753,0.17443931
1896-07,-0.2176363,-0.6034929,0.17739949
1896-08,-0.2839244,-0.7134516,0.15389669
1896-09,-0.22116269,-0.5621929,0.1302865
1896-10,0.04551624,-0.32891142,0.4294695
1896-11,-0.9455588,-1.4313775,-0.45234355
1896-12,-0.13991524,-0.69507015,0.4217368
1897-01,-0.62759644,-1.2149615,-0.034222994
1897-02,-0.4351366,-1.1281465,0.26298395
1897-03,-0.8440955,-1.5431817,-0.13993
1897-04,-0.09331356,-0.663491,0.4830858
1897-05,-0.060273312,-0.46757084,0.35570887
1897-06,-0.13138564,-0.5348231,0.28083676
1897-07,-0.07919254,-0.4557481,0.30678076
1897-08,-0.18755136,-0.61072266,0.24403962
1897-09,-0.011639558,-0.35552287,0.34257513
1897-10,-0.26309764,-0.63565916,0.11903769
1897-11,-0.481227,-0.9419813,-0.01266415
1897-12,-0.5778763,-1.0974683,-0.051335875
1898-01,0.27320322,-0.31271338,0.8651726
1898-02,-0.46987262,-1.1443939,0.20991702
1898-03,-1.3474697,-2.0252242,-0.66446054
1898-04,-0.7455854,-1.2993402,-0.18540782
1898-05,-0.62992984,-1.0460073,-0.20531094
1898-06,-0.21555576,-0.6168365,0.19459417
1898-07,-0.3224683,-0.69531786,0.0599293
1898-08,-0.13671918,-0.55785495,0.29290023
1898-09,-0.11939669,-0.46655822,0.23804376
1898-10,-0.5656002,-0.9275602,-0.19374983
1898-11,-0.39324468,-0.8275441,0.049357455
1898-12,-0.110538326,-0.5993139,0.38564605
1899-01,-0.13094015,-0.70276827,0.44708246
1899-02,-0.73958015,-1.3803307,-0.09328404
1899-03,-0.84014785,-1.5104427,-0.16453362
1899-04,-0.29278886,-0.8310567,0.2521029
1899-05,-0.5257488,-0.93281215,-0.10994571
1899-06,-0.60583675,-1.0093648,-0.19347385
1899-07,-0.20795171,-0.5768848,0.17064765
1899-08,-0.21499828,-0.6339678,0.21252684
1899-09,0.029899959,-0.32210737,0.39205748
1899-10,-0.20450184,-0.5750897,0.17576358
1899-11,0.26765215,-0.18252729,0.72584754
1899-12,-0.6328116,-1.1297917,-0.12854879
1900-01,-0.520703,-1.1115592,0.076116465
1900-02,-0.44354668,-1.097965,0.2162553
1900-03,-0.47983435,-1.1634078,0.20890342
1900-04,-0.44035295,-0.977699,0.10353921
1900-05,-0.25782117,-0.65103036,0.14429146
1900-06,0.0034313984,-0.39361063,0.40929848
1900-07,-0.23732068,-0.59196573,0.12718114
